symbol,alpha,delta,mu,eps_b,eps_s,PIN,PIN_lower_CI,PIN_upper_CI,log_likelihood,n_days,convergence_rate
NLIC,0.4190247558696923,0.8667993423126817,606.1960277491231,269.0464601382251,209.3128826036667,0.3468342152539228,0.33149147666933787,0.3599110196341867,-154947.16869291003,1093,1.0
NHPC,0.28561252767619844,0.7167870447935334,923.8929796606554,297.3110694848684,261.8998542467947,0.32059262638449515,0.27893460407476045,0.3458239662042261,-288559.2352369868,1096,1.0
NICA,0.44800631078960856,0.7350872629444497,516.1776787490204,236.64410473890976,256.0033966727042,0.31945210912504823,0.3061144421673038,0.3306496153380357,-118910.91637739491,1096,1.0
AKPL,0.35297208279736936,0.6354557210389757,746.6224258429904,286.16747004308286,315.93787605520856,0.30444087289886196,0.2591865055524863,0.3353172414382586,-244752.78775854956,1096,1.0
NMB,0.21643331488824716,0.7194879053339321,591.1022088795648,150.52546743443133,157.03909262784296,0.2937648029149585,0.27533553832441876,0.3110906356960384,-111152.30956448668,1095,1.0
CFCL,0.1469342095145945,0.5489596449392093,612.9489281093149,99.87651033401343,116.76902327417746,0.29364398947167725,0.27058735407976464,0.31581431997484716,-113604.66901654567,1086,1.0
SANIMA,0.22191096325319448,0.4895721844220461,561.3859887396384,140.5769876581511,188.94380950781354,0.2743407097396774,0.25673369485004505,0.2912750612136395,-102516.69148760171,1095,1.0
GMFIL,0.1457075791708745,0.45597965527000645,288.3591619709791,50.09611311330265,66.9362206780713,0.26417180192700374,0.24106369942776232,0.2867607392358216,-66284.61165485988,1088,1.0
UPPER,0.2151802393525153,0.5834128883617047,1092.2762637676274,372.3897163814789,467.8954405851455,0.21857303541669734,0.2009133455309128,0.23693273087242406,-278483.5313489327,1092,1.0
SBI,0.11177994901630403,0.4729894586728471,278.22579572117746,55.034867416334876,72.22339652845744,0.19639046090446216,0.1696628869513311,0.22803979553610967,-51623.71148923101,1095,1.0
NABIL,0.2682006656381756,0.6736209826131735,642.0605758136982,364.9462623100857,502.7429421008866,0.1655954261898885,0.1532497784999162,0.1795457582437485,-119301.22185924085,1096,1.0
